Gender,Age,Marital Status,Employee Type,Shift Type,Location,Commute Distance,Vehicle type,Health Status,Department,Overtime,Weekly Working Hours,Promotion Status,English Language Level,Bonus Type,Current Skill,Employee Satisfaction,Training Type,Productivity Before,Productivity After,Training Hours,Employee performance,Years of Experience,Job Level,Education Level,Gross Income,Bonus,Insurance Status,Insurance Type,Work Position,Team Size
Female,26,Married,Remote,Day,Location_Group_6,22,Public,Poor,Department_Group_2,No,37,Yes,Advanced,Percentage,Production,Medium,Workshop,50,62,114,5,4,Job Level_Group_3,Master,Medium,3877,No,,Work Position_Group_2,Team Size_Group_4
Female,28,Married,Full-Time,Night,Location_Group_2,6,Private,Average,Department_Group_6,Yes,54,Yes,Intermediate,Fixed,Quality-Supervisor,High,Online,76,87,38,9,3,Job Level_Group_3,Master,Medium,3417,No,,Work Position_Group_2,Team Size_Group_4
Female,28,Married,Part-Time,Day,Location_Group_6,15,Private,Average,Department_Group_3,No,38,No,Advanced,Percentage,Management,High,Online,57,68,11,3,4,Job Level_Group_3,Master,Medium,1125,No,,Work Position_Group_2,Team Size_Group_4
Female,35,Married,Remote,Flexible,Location_Group_5,37,Private,Average,Department_Group_9,No,54,No,Basic,Percentage,Project-Management,Medium,Workshop,67,80,98,7,8,Job Level_Group_1,PhD,Very High,1148,Yes,Life,Work Position_Group_1,Team Size_Group_6
Female,24,Married,Remote,Flexible,Location_Group_7,42,Private,Average,Department_Group_3,No,53,Yes,Intermediate,Fixed,Project-Management,Low,,73,73,0,2,2,Job Level_Group_4,Bachelor,Low,1361,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,21,Single,Contract,Flexible,Location_Group_2,13,Private,Good,Department_Group_9,Yes,20,No,Advanced,Percentage,Marketing,Low,In-Person,59,71,113,1,2,Job Level_Group_4,Bachelor,Low,944,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,22,Married,Part-Time,Night,Location_Group_5,10,Public,Good,Department_Group_4,No,54,Yes,Advanced,Fixed,UI-Design,Low,,64,64,0,5,2,Job Level_Group_4,Bachelor,Medium,695,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,41,Married,Remote,Flexible,Location_Group_4,26,Private,Poor,Department_Group_5,No,42,Yes,Intermediate,Percentage,UI-Design,Medium,Online,32,43,48,1,7,Job Level_Group_1,PhD,Very High,3701,Yes,Health,Work Position_Group_1,Team Size_Group_11
Female,39,Married,Part-Time,Flexible,Location_Group_4,1,Public,Average,Department_Group_1,No,50,No,Basic,Percentage,Quality-Supervisor,Medium,Workshop,59,77,75,7,6,Job Level_Group_2,PhD,Very High,1181,No,,Work Position_Group_1,Team Size_Group_6
Male,43,Married,Part-Time,Day,Location_Group_7,49,Public,Poor,Department_Group_1,No,25,Yes,Intermediate,Percentage,UI-Design,Medium,,48,48,0,4,8,Job Level_Group_1,PhD,Very High,1484,No,,Work Position_Group_1,Team Size_Group_2
Male,21,Married,Full-Time,Night,Location_Group_6,49,Public,Average,Department_Group_4,No,57,Yes,Basic,Percentage,Project-Management,Low,In-Person,67,79,106,9,2,Job Level_Group_4,Bachelor,Low,3029,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,44,Single,Contract,Day,Location_Group_1,28,Private,Average,Department_Group_7,No,52,No,Advanced,Percentage,Sale,Low,Workshop,38,49,42,9,9,Job Level_Group_1,PhD,High,1486,Yes,Health,Work Position_Group_1,Team Size_Group_9
Male,42,Single,Full-Time,Night,Location_Group_3,27,Private,Good,Department_Group_8,Yes,56,Yes,Advanced,Percentage,Production,Medium,Workshop,63,80,45,8,9,Job Level_Group_1,PhD,High,4134,No,,Work Position_Group_1,Team Size_Group_10
Female,31,Married,Full-Time,Night,Location_Group_5,6,Public,Average,Department_Group_3,Yes,59,No,Advanced,Percentage,Data-Science,High,,45,45,0,5,8,Job Level_Group_1,PhD,High,1496,No,,Work Position_Group_2,Team Size_Group_4
Male,39,Married,Full-Time,Day,Location_Group_3,31,Private,Good,Department_Group_8,No,47,No,Intermediate,Percentage,Sale,High,,76,76,0,4,7,Job Level_Group_1,PhD,High,1227,Yes,Both,Work Position_Group_1,Team Size_Group_3
Female,26,Married,Remote,Night,Location_Group_1,9,Public,Poor,Department_Group_4,No,26,Yes,Basic,Fixed,Programming,High,In-Person,74,84,17,5,3,Job Level_Group_3,Master,Medium,4167,No,,Work Position_Group_2,Team Size_Group_4
Male,28,Married,Contract,Night,Location_Group_1,6,Private,Poor,Department_Group_2,Yes,23,No,Advanced,Percentage,Marketing,High,Online,47,60,118,2,4,Job Level_Group_3,Master,Medium,1180,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,20,Married,Remote,Flexible,Location_Group_4,6,Private,Poor,Department_Group_6,Yes,54,Yes,Intermediate,Fixed,Data-Science,High,Workshop,70,83,112,7,1,Job Level_Group_4,Diploma,Low,3386,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,37,Single,Contract,Flexible,Location_Group_4,17,Public,Poor,Department_Group_4,No,42,No,Intermediate,Fixed,Quality-Supervisor,Low,,65,65,0,5,8,Job Level_Group_1,PhD,Very High,1314,No,,Work Position_Group_1,Team Size_Group_10
Male,19,Married,Contract,Night,Location_Group_1,41,Public,Average,Department_Group_2,Yes,45,No,Basic,Percentage,UX-Design,Low,In-Person,62,72,73,4,1,Job Level_Group_4,Diploma,Low,952,No,,Work Position_Group_2,Team Size_Group_4
Female,33,Married,Contract,Day,Location_Group_5,13,Public,Poor,Department_Group_5,Yes,29,Yes,Intermediate,Fixed,Sale,Medium,,37,37,0,3,7,Job Level_Group_1,PhD,Very High,985,No,,Work Position_Group_2,Team Size_Group_4
Female,34,Married,Remote,Night,Location_Group_2,22,Public,Poor,Department_Group_7,Yes,41,No,Advanced,Fixed,UI-Design,Low,Online,76,89,96,5,7,Job Level_Group_1,PhD,Very High,1215,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,32,Married,Contract,Flexible,Location_Group_7,44,Private,Average,Department_Group_5,Yes,33,No,Advanced,Percentage,Sale,Low,Online,42,54,102,3,5,Job Level_Group_2,PhD,Very High,649,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,26,Married,Full-Time,Night,Location_Group_3,38,Private,Good,Department_Group_7,Yes,55,No,Basic,Percentage,Production,Medium,Online,44,59,33,9,3,Job Level_Group_3,Master,Medium,557,No,,Work Position_Group_2,Team Size_Group_4
Female,38,Married,Contract,Flexible,Location_Group_5,34,Public,Good,Department_Group_2,Yes,46,Yes,Advanced,Percentage,Artificial-Intelligence,Low,Online,73,87,36,8,5,Job Level_Group_2,PhD,High,3218,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,29,Single,Full-Time,Flexible,Location_Group_3,27,Private,Poor,Department_Group_9,No,46,No,Advanced,Fixed,Marketing,Medium,,48,48,0,5,3,Job Level_Group_3,Master,Medium,956,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,26,Married,Remote,Night,Location_Group_6,1,Public,Poor,Department_Group_4,Yes,29,No,Intermediate,Percentage,UI-Design,Low,Workshop,42,60,56,4,4,Job Level_Group_3,Master,Medium,1354,No,,Work Position_Group_2,Team Size_Group_4
Female,33,Single,Contract,Flexible,Location_Group_3,40,Private,Good,Department_Group_5,Yes,49,No,Intermediate,Fixed,Finance,Medium,,77,77,0,2,5,Job Level_Group_2,PhD,High,955,No,,Work Position_Group_2,Team Size_Group_4
Female,40,Married,Remote,Day,Location_Group_6,3,Private,Poor,Department_Group_6,Yes,42,Yes,Basic,Fixed,UI-Design,Medium,Online,76,86,21,4,9,Job Level_Group_1,PhD,Very High,4070,No,,Work Position_Group_1,Team Size_Group_9
Male,38,Married,Full-Time,Day,Location_Group_7,32,Public,Poor,Department_Group_5,Yes,54,Yes,Intermediate,Percentage,Quality-Supervisor,Medium,,72,72,0,5,7,Job Level_Group_1,PhD,Very High,1209,No,,Work Position_Group_1,Team Size_Group_7
Female,26,Married,Contract,Day,Location_Group_5,23,Private,Average,Department_Group_9,No,52,Yes,Advanced,Percentage,Customer-Relation,Low,,33,33,0,5,3,Job Level_Group_3,Master,Medium,1364,No,,Work Position_Group_2,Team Size_Group_4
Female,26,Single,Full-Time,Flexible,Location_Group_4,12,Private,Poor,Department_Group_6,Yes,22,Yes,Advanced,Percentage,Management,Medium,Workshop,40,58,69,1,3,Job Level_Group_3,Master,Medium,3195,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,26,Married,Full-Time,Flexible,Location_Group_2,29,Private,Good,Department_Group_9,No,47,Yes,Intermediate,Percentage,UX-Design,High,Online,35,46,108,8,4,Job Level_Group_3,Master,Medium,4196,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,31,Single,Full-Time,Night,Location_Group_1,10,Public,Good,Department_Group_2,No,57,Yes,Intermediate,Percentage,UX-Design,Low,,36,36,0,2,5,Job Level_Group_2,PhD,High,531,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,26,Single,Full-Time,Night,Location_Group_5,3,Public,Good,Department_Group_6,Yes,34,Yes,Advanced,Percentage,Data-Science,High,Workshop,76,88,14,1,4,Job Level_Group_3,Master,Medium,3184,No,,Work Position_Group_2,Team Size_Group_4
Female,36,Single,Part-Time,Night,Location_Group_6,10,Private,Average,Department_Group_3,Yes,51,Yes,Intermediate,Fixed,Programming,Medium,,63,63,0,5,6,Job Level_Group_2,PhD,Very High,1022,Yes,Life,Work Position_Group_1,Team Size_Group_2
Male,22,Single,Contract,Flexible,Location_Group_2,3,Public,Good,Department_Group_6,Yes,54,No,Basic,Fixed,Marketing,Low,In-Person,31,44,65,8,2,Job Level_Group_4,Bachelor,Low,649,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,38,Married,Remote,Day,Location_Group_2,47,Public,Good,Department_Group_3,No,43,No,Intermediate,Fixed,Business Strategy,Low,Workshop,51,69,22,5,9,Job Level_Group_1,PhD,High,1078,Yes,Life,Work Position_Group_1,Team Size_Group_10
Female,19,Married,Part-Time,Day,Location_Group_1,9,Private,Good,Department_Group_4,No,22,No,Advanced,Fixed,Finance,High,Online,40,52,66,1,1,Job Level_Group_4,Diploma,Low,595,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,25,Single,Full-Time,Flexible,Location_Group_5,28,Private,Average,Department_Group_9,Yes,56,Yes,Basic,Percentage,Programming,Low,,76,76,0,1,4,Job Level_Group_3,Bachelor,Low,1211,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,26,Single,Contract,Day,Location_Group_1,2,Private,Poor,Department_Group_5,Yes,21,Yes,Advanced,Fixed,Management,High,In-Person,45,64,27,3,4,Job Level_Group_3,Master,Medium,3556,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,30,Married,Contract,Flexible,Location_Group_4,3,Public,Average,Department_Group_1,No,54,No,Advanced,Percentage,Management,Medium,,39,39,0,4,6,Job Level_Group_2,Master,Medium,684,No,,Work Position_Group_2,Team Size_Group_4
Female,29,Single,Remote,Day,Location_Group_2,45,Public,Average,Department_Group_5,Yes,43,Yes,Basic,Percentage,Sale,High,In-Person,69,84,57,4,3,Job Level_Group_3,Master,Medium,4087,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,34,Married,Full-Time,Night,Location_Group_6,43,Public,Average,Department_Group_5,No,27,Yes,Advanced,Fixed,Data-Science,Medium,In-Person,42,55,33,3,7,Job Level_Group_1,PhD,High,3852,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,43,Single,Remote,Day,Location_Group_4,39,Private,Poor,Department_Group_3,No,49,No,Advanced,Percentage,UX-Design,High,In-Person,62,81,10,7,6,Job Level_Group_2,PhD,High,993,No,,Work Position_Group_1,Team Size_Group_10
Male,41,Married,Part-Time,Night,Location_Group_7,30,Private,Poor,Department_Group_3,Yes,33,Yes,Advanced,Percentage,Sale,Medium,Workshop,39,52,40,5,6,Job Level_Group_2,PhD,Very High,3317,Yes,Life,Work Position_Group_1,Team Size_Group_6
Male,24,Married,Full-Time,Flexible,Location_Group_3,32,Public,Average,Department_Group_8,Yes,46,No,Advanced,Percentage,Production,Medium,Online,36,50,14,7,2,Job Level_Group_4,Bachelor,Low,906,No,,Work Position_Group_2,Team Size_Group_4
Male,36,Single,Remote,Flexible,Location_Group_4,24,Private,Average,Department_Group_9,Yes,59,No,Intermediate,Percentage,UX-Design,High,Workshop,39,57,92,9,7,Job Level_Group_1,PhD,High,1269,Yes,Both,Work Position_Group_1,Team Size_Group_8
Female,20,Married,Contract,Day,Location_Group_5,46,Private,Average,Department_Group_2,No,40,Yes,Intermediate,Fixed,Quality-Supervisor,High,Online,30,43,87,2,1,Job Level_Group_4,Diploma,Low,3547,No,,Work Position_Group_2,Team Size_Group_4
Female,32,Married,Full-Time,Day,Location_Group_7,14,Private,Average,Department_Group_9,No,49,No,Basic,Percentage,Production,Medium,Workshop,39,53,39,8,6,Job Level_Group_2,PhD,Very High,991,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,40,Married,Remote,Night,Location_Group_1,17,Private,Average,Department_Group_2,No,26,Yes,Advanced,Percentage,Production,Medium,Online,63,75,102,3,8,Job Level_Group_1,PhD,Very High,3245,No,,Work Position_Group_1,Team Size_Group_2
Female,39,Married,Contract,Flexible,Location_Group_4,26,Private,Poor,Department_Group_4,Yes,54,No,Advanced,Percentage,Quality-Supervisor,Medium,,43,43,0,5,7,Job Level_Group_1,PhD,High,926,No,,Work Position_Group_1,Team Size_Group_8
Male,21,Single,Remote,Flexible,Location_Group_6,28,Private,Average,Department_Group_5,Yes,43,No,Basic,Percentage,UI-Design,Medium,,69,69,0,5,2,Job Level_Group_4,Bachelor,Low,1268,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,35,Married,Part-Time,Night,Location_Group_3,46,Public,Average,Department_Group_9,Yes,55,No,Basic,Percentage,Project-Management,Medium,Workshop,37,56,113,9,8,Job Level_Group_1,PhD,Very High,1329,Yes,Both,Work Position_Group_1,Team Size_Group_9
Female,41,Married,Remote,Flexible,Location_Group_2,2,Private,Good,Department_Group_7,Yes,50,No,Advanced,Fixed,Project-Management,Medium,Workshop,35,47,47,7,8,Job Level_Group_1,PhD,High,1260,No,,Work Position_Group_1,Team Size_Group_8
Female,19,Married,Part-Time,Flexible,Location_Group_1,9,Private,Poor,Department_Group_8,No,45,No,Basic,Percentage,Business Strategy,Low,,38,38,0,5,1,Job Level_Group_4,Diploma,Low,899,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,21,Single,Remote,Flexible,Location_Group_4,13,Public,Poor,Department_Group_1,Yes,51,No,Basic,Percentage,Customer-Relation,High,Online,63,81,74,9,2,Job Level_Group_4,Bachelor,Low,501,No,,Work Position_Group_2,Team Size_Group_4
Male,41,Married,Remote,Night,Location_Group_6,1,Private,Poor,Department_Group_6,Yes,57,Yes,Basic,Percentage,Customer-Relation,Medium,Workshop,74,89,83,8,7,Job Level_Group_1,PhD,Medium,4212,Yes,Both,Work Position_Group_1,Team Size_Group_2
Female,20,Married,Part-Time,Flexible,Location_Group_2,42,Private,Good,Department_Group_2,Yes,52,Yes,Basic,Percentage,UI-Design,Medium,Workshop,79,89,26,7,1,Job Level_Group_4,Diploma,Low,3690,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,40,Single,Contract,Day,Location_Group_2,17,Private,Average,Department_Group_1,No,56,No,Basic,Percentage,Data-Science,Medium,,31,31,0,3,7,Job Level_Group_1,PhD,High,1069,No,,Work Position_Group_1,Team Size_Group_10
Male,43,Single,Remote,Day,Location_Group_5,49,Public,Poor,Department_Group_4,Yes,34,No,Intermediate,Percentage,Marketing,Medium,Workshop,36,49,103,1,5,Job Level_Group_2,PhD,Very High,826,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,24,Married,Full-Time,Flexible,Location_Group_3,41,Public,Average,Department_Group_8,Yes,39,Yes,Advanced,Percentage,Data-Science,Medium,Online,40,50,105,4,2,Job Level_Group_4,Bachelor,Low,3433,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,36,Single,Full-Time,Flexible,Location_Group_4,49,Public,Poor,Department_Group_7,Yes,30,Yes,Advanced,Percentage,Project-Management,Medium,Workshop,40,59,93,4,8,Job Level_Group_1,PhD,Very High,3998,No,,Work Position_Group_1,Team Size_Group_9
Female,33,Single,Part-Time,Night,Location_Group_3,46,Private,Good,Department_Group_1,Yes,40,No,Intermediate,Percentage,Customer-Relation,Medium,Workshop,71,90,117,2,5,Job Level_Group_2,PhD,Very High,1202,No,,Work Position_Group_2,Team Size_Group_4
Female,25,Married,Contract,Day,Location_Group_6,2,Public,Average,Department_Group_1,Yes,31,Yes,Intermediate,Percentage,UX-Design,Low,In-Person,48,58,77,5,4,Job Level_Group_3,Bachelor,Low,3416,No,,Work Position_Group_2,Team Size_Group_4
Female,27,Single,Part-Time,Night,Location_Group_1,46,Private,Good,Department_Group_7,Yes,29,Yes,Advanced,Fixed,Management,Medium,Workshop,63,80,116,3,3,Job Level_Group_3,Master,Medium,3452,No,,Work Position_Group_2,Team Size_Group_4
Female,19,Married,Remote,Night,Location_Group_5,13,Public,Good,Department_Group_9,No,26,No,Basic,Fixed,Quality-Supervisor,Low,Online,32,48,12,1,1,Job Level_Group_4,Diploma,Low,1320,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,39,Married,Remote,Day,Location_Group_3,40,Private,Poor,Department_Group_4,Yes,43,No,Basic,Percentage,Sale,Medium,Workshop,65,82,77,5,7,Job Level_Group_1,PhD,Very High,1040,Yes,Both,Work Position_Group_1,Team Size_Group_7
Male,29,Single,Part-Time,Night,Location_Group_3,26,Private,Poor,Department_Group_8,Yes,39,Yes,Intermediate,Percentage,Sale,High,In-Person,63,77,70,2,3,Job Level_Group_3,Master,Medium,4029,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,21,Married,Remote,Night,Location_Group_7,22,Private,Good,Department_Group_2,No,43,No,Intermediate,Percentage,Artificial-Intelligence,High,,77,77,0,1,2,Job Level_Group_4,Bachelor,Low,1057,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,36,Married,Contract,Flexible,Location_Group_6,22,Private,Good,Department_Group_5,No,25,No,Basic,Fixed,Management,Low,,69,69,0,5,7,Job Level_Group_1,PhD,High,1320,No,,Work Position_Group_1,Team Size_Group_11
Male,42,Single,Contract,Night,Location_Group_7,24,Private,Good,Department_Group_5,No,58,Yes,Advanced,Fixed,Finance,Low,Online,55,67,94,9,7,Job Level_Group_1,PhD,Very High,4272,Yes,Both,Work Position_Group_1,Team Size_Group_2
Female,39,Married,Remote,Flexible,Location_Group_6,49,Public,Poor,Department_Group_2,No,29,Yes,Basic,Fixed,UI-Design,Low,Workshop,71,88,111,4,5,Job Level_Group_2,PhD,High,3437,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,20,Single,Full-Time,Flexible,Location_Group_6,14,Public,Good,Department_Group_1,No,52,No,Intermediate,Percentage,Quality-Supervisor,Low,In-Person,43,60,86,8,1,Job Level_Group_4,Diploma,Low,1180,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,44,Single,Contract,Day,Location_Group_4,38,Private,Poor,Department_Group_2,No,28,Yes,Advanced,Fixed,Quality-Supervisor,High,Online,74,91,49,1,7,Job Level_Group_1,PhD,Very High,4095,Yes,Both,Work Position_Group_1,Team Size_Group_6
Male,40,Married,Full-Time,Flexible,Location_Group_1,9,Public,Poor,Department_Group_9,No,31,No,Advanced,Fixed,Quality-Supervisor,Medium,Workshop,45,60,104,3,9,Job Level_Group_1,PhD,Very High,819,Yes,Life,Work Position_Group_1,Team Size_Group_5
Female,19,Single,Contract,Day,Location_Group_6,15,Private,Poor,Department_Group_7,No,42,No,Intermediate,Fixed,Project-Management,High,Online,74,87,43,4,1,Job Level_Group_4,Diploma,Low,840,No,,Work Position_Group_2,Team Size_Group_4
Female,43,Married,Remote,Day,Location_Group_6,11,Private,Average,Department_Group_3,No,22,No,Basic,Fixed,Customer-Relation,High,In-Person,43,60,104,5,6,Job Level_Group_2,PhD,High,673,No,,Work Position_Group_1,Team Size_Group_2
Female,27,Single,Part-Time,Night,Location_Group_1,45,Public,Good,Department_Group_8,No,45,No,Basic,Percentage,Production,Medium,,34,34,0,3,3,Job Level_Group_3,Master,Medium,805,No,,Work Position_Group_2,Team Size_Group_4
Male,26,Single,Remote,Day,Location_Group_4,22,Private,Poor,Department_Group_5,No,27,No,Advanced,Fixed,Business Strategy,High,,45,45,0,4,3,Job Level_Group_3,Master,Medium,1423,No,,Work Position_Group_2,Team Size_Group_4
Female,38,Single,Full-Time,Flexible,Location_Group_7,36,Private,Good,Department_Group_1,No,37,No,Advanced,Percentage,Production,Medium,Workshop,68,81,24,2,7,Job Level_Group_1,PhD,Very High,1380,Yes,Both,Work Position_Group_1,Team Size_Group_2
Male,23,Married,Contract,Day,Location_Group_3,23,Public,Poor,Department_Group_4,No,48,Yes,Basic,Fixed,Artificial-Intelligence,High,Workshop,75,90,66,8,2,Job Level_Group_4,Bachelor,Low,4339,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,26,Single,Part-Time,Day,Location_Group_1,11,Private,Good,Department_Group_1,No,39,No,Basic,Percentage,Marketing,Medium,Workshop,73,87,103,3,3,Job Level_Group_3,Master,Medium,556,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,35,Married,Remote,Flexible,Location_Group_7,26,Private,Average,Department_Group_2,No,58,No,Advanced,Fixed,Data-Science,High,Workshop,51,67,61,7,7,Job Level_Group_1,PhD,Very High,1251,No,,Work Position_Group_1,Team Size_Group_2
Male,26,Single,Part-Time,Flexible,Location_Group_4,18,Private,Poor,Department_Group_1,Yes,53,No,Basic,Percentage,Programming,Low,Workshop,69,86,35,9,4,Job Level_Group_3,Master,Medium,1196,No,,Work Position_Group_2,Team Size_Group_4
Male,31,Single,Full-Time,Day,Location_Group_4,17,Public,Good,Department_Group_7,No,31,No,Advanced,Fixed,Artificial-Intelligence,Low,Online,76,88,32,2,7,Job Level_Group_1,PhD,Very High,828,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,29,Single,Remote,Flexible,Location_Group_3,22,Public,Good,Department_Group_4,Yes,24,No,Advanced,Percentage,Programming,Medium,,58,58,0,3,4,Job Level_Group_3,Master,Medium,509,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,28,Single,Part-Time,Day,Location_Group_4,49,Public,Poor,Department_Group_7,Yes,24,No,Intermediate,Fixed,UI-Design,Low,,65,65,0,5,3,Job Level_Group_3,Master,Medium,999,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,30,Single,Full-Time,Night,Location_Group_3,32,Public,Poor,Department_Group_2,Yes,26,No,Basic,Fixed,Artificial-Intelligence,Medium,Workshop,53,63,62,3,9,Job Level_Group_1,Master,Medium,1310,No,,Work Position_Group_2,Team Size_Group_4
Male,33,Married,Contract,Night,Location_Group_1,2,Public,Good,Department_Group_1,Yes,21,Yes,Advanced,Percentage,Project-Management,Medium,Workshop,64,80,60,5,8,Job Level_Group_1,PhD,High,3887,No,,Work Position_Group_2,Team Size_Group_4
Male,43,Married,Full-Time,Flexible,Location_Group_5,33,Public,Average,Department_Group_7,No,24,No,Intermediate,Percentage,Marketing,High,,42,42,0,2,5,Job Level_Group_2,PhD,Very High,1074,No,,Work Position_Group_2,Team Size_Group_4
Female,30,Married,Contract,Flexible,Location_Group_7,25,Private,Good,Department_Group_9,Yes,56,No,Intermediate,Percentage,Customer-Relation,Low,,36,36,0,4,9,Job Level_Group_1,Master,Medium,1412,No,,Work Position_Group_2,Team Size_Group_4
Female,44,Married,Remote,Day,Location_Group_4,17,Private,Average,Department_Group_9,Yes,37,No,Advanced,Fixed,UI-Design,Medium,In-Person,61,77,42,1,5,Job Level_Group_2,PhD,Very High,787,No,,Work Position_Group_2,Team Size_Group_4
Male,31,Single,Remote,Flexible,Location_Group_2,45,Private,Good,Department_Group_7,Yes,47,No,Intermediate,Fixed,Project-Management,Medium,,41,41,0,1,9,Job Level_Group_1,PhD,High,1154,No,,Work Position_Group_2,Team Size_Group_4
Female,25,Married,Part-Time,Flexible,Location_Group_6,41,Public,Average,Department_Group_9,No,22,Yes,Advanced,Percentage,Programming,High,,56,56,0,1,4,Job Level_Group_3,Bachelor,Low,564,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,29,Married,Contract,Flexible,Location_Group_7,46,Public,Good,Department_Group_3,No,58,No,Basic,Percentage,Finance,High,Online,67,81,85,8,3,Job Level_Group_3,Master,Medium,571,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,31,Married,Full-Time,Night,Location_Group_5,9,Public,Poor,Department_Group_5,Yes,31,No,Intermediate,Fixed,Customer-Relation,Medium,Workshop,65,83,15,3,9,Job Level_Group_1,PhD,Very High,1122,No,,Work Position_Group_2,Team Size_Group_4
Female,29,Single,Full-Time,Day,Location_Group_1,17,Public,Good,Department_Group_9,No,43,Yes,Intermediate,Percentage,Sale,Low,In-Person,76,91,10,1,4,Job Level_Group_3,Master,Medium,3353,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,19,Single,Full-Time,Night,Location_Group_2,13,Public,Average,Department_Group_9,No,46,Yes,Intermediate,Fixed,Programming,Medium,Online,46,61,82,8,1,Job Level_Group_4,Diploma,Low,3713,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,41,Married,Full-Time,Night,Location_Group_5,9,Private,Good,Department_Group_3,No,25,No,Basic,Percentage,Customer-Relation,Low,Online,43,53,119,4,8,Job Level_Group_1,PhD,Very High,1413,No,,Work Position_Group_1,Team Size_Group_3
Female,38,Single,Contract,Flexible,Location_Group_3,18,Private,Average,Department_Group_4,Yes,27,No,Basic,Fixed,Sale,Low,Workshop,71,81,99,4,9,Job Level_Group_1,PhD,High,1397,No,,Work Position_Group_1,Team Size_Group_3
Male,34,Married,Remote,Day,Location_Group_5,22,Private,Average,Department_Group_2,No,52,Yes,Advanced,Percentage,Data-Science,Medium,In-Person,69,82,92,9,8,Job Level_Group_1,PhD,Very High,3947,No,,Work Position_Group_2,Team Size_Group_4
Male,38,Single,Part-Time,Night,Location_Group_1,4,Public,Good,Department_Group_1,No,47,No,Basic,Fixed,Quality-Supervisor,Medium,Workshop,30,46,18,7,8,Job Level_Group_1,PhD,Very High,1011,Yes,Health,Work Position_Group_1,Team Size_Group_1
Male,40,Married,Full-Time,Day,Location_Group_1,47,Public,Average,Department_Group_8,Yes,31,No,Intermediate,Percentage,UI-Design,High,In-Person,78,91,70,2,5,Job Level_Group_2,PhD,Very High,770,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,38,Married,Contract,Flexible,Location_Group_5,4,Private,Good,Department_Group_8,Yes,31,No,Advanced,Percentage,Quality-Supervisor,Medium,,55,55,0,2,5,Job Level_Group_2,PhD,High,1361,No,,Work Position_Group_2,Team Size_Group_4
Female,44,Married,Part-Time,Flexible,Location_Group_3,5,Private,Good,Department_Group_3,Yes,39,No,Intermediate,Fixed,Quality-Supervisor,High,In-Person,50,67,61,5,8,Job Level_Group_1,PhD,High,1321,No,,Work Position_Group_1,Team Size_Group_2
Male,43,Married,Remote,Day,Location_Group_7,40,Private,Poor,Department_Group_9,Yes,41,Yes,Basic,Fixed,Programming,Low,In-Person,56,73,102,3,9,Job Level_Group_1,PhD,Very High,3232,No,,Work Position_Group_1,Team Size_Group_3
Male,27,Married,Full-Time,Flexible,Location_Group_6,42,Public,Good,Department_Group_6,Yes,51,Yes,Basic,Percentage,Programming,Low,Workshop,48,59,19,9,4,Job Level_Group_3,Master,Medium,4068,No,,Work Position_Group_2,Team Size_Group_4
